top - 04:21:44 up 58 min,  1 user,  load average: 3,38, 2,36, 1,43
Threads: 1194 total,   7 em exec., 1186 dormindo,   0 parado,   1 zumbi
%CPU(s): 96,8 us,  3,2 sy,  0,0 ni,  0,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :  11410,8 total,    617,3 free,   6535,4 used,   4149,1 buff/cache     
MB swap:   3079,0 total,   3078,4 free,      0,6 used.   4875,4 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
   1356 polkitd   20   0  407200  27488  11460 S   0,0   0,2   0:00.06 gdbus
   1264 root      20   0 2032776  59684  22740 S   0,0   0,5   0:00.02 snapd
   1335 root      20   0 2032776  59684  22740 S   0,0   0,5   0:00.03 snapd
   1336 root      20   0 2032776  59684  22740 S   0,0   0,5   0:00.03 snapd
   1337 root      20   0 2032776  59684  22740 S   0,0   0,5   0:00.04 snapd
   1341 root      20   0 2032776  59684  22740 S   0,0   0,5   0:00.00 snapd
   1343 root      20   0 2032776  59684  22740 S   0,0   0,5   0:00.00 snapd
   1405 root      20   0 2032776  59684  22740 S   0,0   0,5   0:00.06 snapd
   1411 root      20   0 2032776  59684  22740 S   0,0   0,5   0:00.06 snapd
   1465 root      20   0 2032776  59684  22740 S   0,0   0,5   0:00.05 snapd
   1483 root      20   0 2032776  59684  22740 S   0,0   0,5   0:00.06 snapd
   1609 root      20   0 2032776  59684  22740 S   0,0   0,5   0:00.10 snapd
   1265 root      20   0  334224  21204  10952 S   0,0   0,2   0:00.02 account+
   1329 root      20   0  334224  21204  10952 S   0,0   0,2   0:00.00 pool-sp+
   1330 root      20   0  334224  21204  10952 S   0,0   0,2   0:00.06 gmain
   1355 root      20   0  334224  21204  10952 S   0,0   0,2   0:00.00 gdbus
   1266 root      20   0    8516   2856   2624 S   0,0   0,0   0:00.00 cron
   1268 root      20   0  309464  14932   6028 S   0,0   0,1   0:00.01 switche+
   1302 root      20   0  309464  14932   6028 S   0,0   0,1   0:00.00 pool-sp+
   1304 root      20   0  309464  14932   6028 S   0,0   0,1   0:00.00 gmain
   1354 root      20   0  309464  14932   6028 S   0,0   0,1   0:00.00 gdbus
   1270 root      20   0   19740  10896   7764 S   0,0   0,1   0:00.14 systemd+
   1271 root      20   0  562652  31792  14148 S   0,0   0,3   0:00.07 udisksd
   1312 root      20   0  562652  31792  14148 S   0,0   0,3   0:00.03 gmain
   1313 root      20   0  562652  31792  14148 S   0,0   0,3   0:00.00 pool-sp+
   1357 root      20   0  562652  31792  14148 S   0,0   0,3   0:00.01 gdbus
   1415 root      20   0  562652  31792  14148 S   0,0   0,3   0:00.00 udisks-+
   1416 root      20   0  562652  31792  14148 S   0,0   0,3   0:00.00 udisks-+
   1425 root      20   0  562652  31792  14148 S   0,0   0,3   0:00.00 cleanup
   1282 avahi     20   0    7204   1628   1340 S   0,0   0,0   0:00.00 avahi-d+
   1316 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker+
   1318 _chrony   20   0   20668   4324   3544 S   0,0   0,0   0:00.08 chronyd
   1333 syslog    20   0  221568  10372   3584 S   0,0   0,1   0:00.00 rsyslogd
   1381 syslog    20   0  221568  10372   3584 S   0,0   0,1   0:00.04 in:imux+
   1382 syslog    20   0  221568  10372   3584 S   0,0   0,1   0:00.00 in:imkl+
